tracemalloc/.tmp:15: size=1788 B, count=7, average=255 B
tracemalloc/.tmp:20: size=1560 B, count=65, average=24 B
tracemalloc/.tmp:21: size=888 B, count=37, average=24 B
tracemalloc/.tmp:9: size=800 B, count=1, average=800 B
tracemalloc/.tmp:52: size=776 B, count=6, average=129 B
tracemalloc/.tmp:59: size=696 B, count=2, average=348 B
tracemalloc/.tmp:63: size=528 B, count=1, average=528 B
tracemalloc/.tmp:54: size=480 B, count=1, average=480 B
tracemalloc/.tmp:55: size=456 B, count=1, average=456 B
tracemalloc/.tmp:45: size=440 B, count=1, average=440 B
tracemalloc/.tmp:49: size=136 B, count=1, average=136 B
tracemalloc/.tmp:42: size=136 B, count=1, average=136 B
tracemalloc/.tmp:35: size=136 B, count=1, average=136 B
tracemalloc/.tmp:26: size=136 B, count=1, average=136 B
tracemalloc/.tmp:23: size=136 B, count=1, average=136 B
tracemalloc/.tmp:18: size=136 B, count=1, average=136 B
tracemalloc/.tmp:44: size=128 B, count=2, average=64 B
tracemalloc/.tmp:33: size=24 B, count=1, average=24 B
tracemalloc/.tmp:15: size=1788 B, count=7, average=255 B
tracemalloc/.tmp:20: size=1560 B, count=65, average=24 B
tracemalloc/.tmp:21: size=864 B, count=36, average=24 B
tracemalloc/.tmp:9: size=800 B, count=1, average=800 B
tracemalloc/.tmp:59: size=696 B, count=2, average=348 B
tracemalloc/.tmp:63: size=528 B, count=1, average=528 B
tracemalloc/.tmp:52: size=520 B, count=2, average=260 B
tracemalloc/.tmp:54: size=480 B, count=1, average=480 B
tracemalloc/.tmp:55: size=456 B, count=1, average=456 B
tracemalloc/.tmp:45: size=440 B, count=1, average=440 B
tracemalloc/.tmp:49: size=136 B, count=1, average=136 B
tracemalloc/.tmp:42: size=136 B, count=1, average=136 B
tracemalloc/.tmp:35: size=136 B, count=1, average=136 B
tracemalloc/.tmp:26: size=136 B, count=1, average=136 B
tracemalloc/.tmp:23: size=136 B, count=1, average=136 B
tracemalloc/.tmp:18: size=136 B, count=1, average=136 B
tracemalloc/.tmp:52: size=128 B, count=2, average=64 B
tracemalloc/.tmp:44: size=128 B, count=2, average=64 B
tracemalloc/.tmp:33: size=24 B, count=1, average=24 B
tracemalloc/.tmp:20: size=24 B, count=1, average=24 B
tracemalloc/.tmp:15: size=1788 B, count=7, average=255 B
