tracemalloc/.tmp:35: size=4864 B, count=76, average=64 B
tracemalloc/.tmp:39: size=2304 B, count=36, average=64 B
tracemalloc/.tmp:321: size=1980 B, count=6, average=330 B
tracemalloc/.tmp:161: size=1980 B, count=6, average=330 B
tracemalloc/.tmp:32: size=1980 B, count=6, average=330 B
tracemalloc/.tmp:139: size=1724 B, count=7, average=246 B
tracemalloc/.tmp:107: size=1724 B, count=7, average=246 B
tracemalloc/.tmp:19: size=1568 B, count=1, average=1568 B
tracemalloc/.tmp:45: size=1088 B, count=17, average=64 B
tracemalloc/.tmp:461: size=696 B, count=2, average=348 B
tracemalloc/.tmp:119: size=568 B, count=1, average=568 B
tracemalloc/.tmp:164: size=536 B, count=2, average=268 B
tracemalloc/.tmp:463: size=528 B, count=1, average=528 B
tracemalloc/.tmp:40: size=528 B, count=1, average=528 B
tracemalloc/.tmp:166: size=512 B, count=1, average=512 B
tracemalloc/.tmp:446: size=496 B, count=1, average=496 B
tracemalloc/.tmp:376: size=496 B, count=1, average=496 B
tracemalloc/.tmp:352: size=488 B, count=1, average=488 B
tracemalloc/.tmp:453: size=480 B, count=1, average=480 B
tracemalloc/.tmp:185: size=480 B, count=1, average=480 B
tracemalloc/.tmp:90: size=480 B, count=1, average=480 B
tracemalloc/.tmp:90: size=480 B, count=1, average=480 B
tracemalloc/.tmp:90: size=480 B, count=1, average=480 B
tracemalloc/.tmp:90: size=480 B, count=1, average=480 B
tracemalloc/.tmp:90: size=480 B, count=1, average=480 B
tracemalloc/.tmp:90: size=480 B, count=1, average=480 B
tracemalloc/.tmp:73: size=480 B, count=1, average=480 B
tracemalloc/.tmp:197: size=472 B, count=1, average=472 B
tracemalloc/.tmp:174: size=472 B, count=1, average=472 B
tracemalloc/.tmp:452: size=464 B, count=1, average=464 B
tracemalloc/.tmp:337: size=464 B, count=1, average=464 B
tracemalloc/.tmp:243: size=464 B, count=1, average=464 B
tracemalloc/.tmp:186: size=464 B, count=1, average=464 B
tracemalloc/.tmp:54: size=464 B, count=1, average=464 B
tracemalloc/.tmp:445: size=456 B, count=1, average=456 B
tracemalloc/.tmp:351: size=456 B, count=1, average=456 B
tracemalloc/.tmp:210: size=456 B, count=1, average=456 B
tracemalloc/.tmp:173: size=456 B, count=1, average=456 B
tracemalloc/.tmp:164: size=456 B, count=1, average=456 B
tracemalloc/.tmp:131: size=456 B, count=1, average=456 B
tracemalloc/.tmp:40: size=456 B, count=1, average=456 B
tracemalloc/.tmp:440: size=448 B, count=1, average=448 B
tracemalloc/.tmp:439: size=448 B, count=1, average=448 B
tracemalloc/.tmp:340: size=448 B, count=1, average=448 B
tracemalloc/.tmp:328: size=448 B, count=1, average=448 B
tracemalloc/.tmp:167: size=448 B, count=1, average=448 B
tracemalloc/.tmp:98: size=448 B, count=1, average=448 B
tracemalloc/.tmp:64: size=448 B, count=1, average=448 B
tracemalloc/.tmp:48: size=440 B, count=1, average=440 B
tracemalloc/.tmp:74: size=432 B, count=1, average=432 B
tracemalloc/.tmp:436: size=424 B, count=1, average=424 B
tracemalloc/.tmp:327: size=416 B, count=1, average=416 B
tracemalloc/.tmp:175: size=416 B, count=1, average=416 B
tracemalloc/.tmp:38: size=416 B, count=1, average=416 B
tracemalloc/.tmp:457: size=224 B, count=1, average=224 B
tracemalloc/.tmp:16: size=224 B, count=1, average=224 B
tracemalloc/.tmp:395: size=144 B, count=6, average=24 B
tracemalloc/.tmp:450: size=136 B, count=1, average=136 B
tracemalloc/.tmp:435: size=136 B, count=1, average=136 B
tracemalloc/.tmp:406: size=136 B, count=1, average=136 B
tracemalloc/.tmp:397: size=136 B, count=1, average=136 B
tracemalloc/.tmp:389: size=136 B, count=1, average=136 B
tracemalloc/.tmp:374: size=136 B, count=1, average=136 B
tracemalloc/.tmp:367: size=136 B, count=1, average=136 B
tracemalloc/.tmp:354: size=136 B, count=1, average=136 B
tracemalloc/.tmp:331: size=136 B, count=1, average=136 B
tracemalloc/.tmp:323: size=136 B, count=1, average=136 B
tracemalloc/.tmp:312: size=136 B, count=1, average=136 B
tracemalloc/.tmp:267: size=136 B, count=1, average=136 B
tracemalloc/.tmp:249: size=136 B, count=1, average=136 B
tracemalloc/.tmp:245: size=136 B, count=1, average=136 B
tracemalloc/.tmp:242: size=136 B, count=1, average=136 B
tracemalloc/.tmp:206: size=136 B, count=1, average=136 B
tracemalloc/.tmp:199: size=136 B, count=1, average=136 B
tracemalloc/.tmp:196: size=136 B, count=1, average=136 B
tracemalloc/.tmp:182: size=136 B, count=1, average=136 B
tracemalloc/.tmp:169: size=136 B, count=1, average=136 B
tracemalloc/.tmp:163: size=136 B, count=1, average=136 B
