tracemalloc/.tmp:664: size=3800 B, count=3, average=1267 B
tracemalloc/.tmp:43: size=2876 B, count=7, average=411 B
tracemalloc/.tmp:228: size=2156 B, count=8, average=270 B
tracemalloc/.tmp:58: size=1600 B, count=25, average=64 B
tracemalloc/.tmp:184: size=1596 B, count=6, average=266 B
tracemalloc/.tmp:174: size=1532 B, count=7, average=219 B
tracemalloc/.tmp:24: size=1532 B, count=7, average=219 B
tracemalloc/.tmp:58: size=1088 B, count=17, average=64 B
tracemalloc/.tmp:58: size=1024 B, count=16, average=64 B
tracemalloc/.tmp:337: size=904 B, count=2, average=452 B
tracemalloc/.tmp:427: size=608 B, count=1, average=608 B
tracemalloc/.tmp:526: size=568 B, count=1, average=568 B
tracemalloc/.tmp:444: size=560 B, count=1, average=560 B
tracemalloc/.tmp:420: size=560 B, count=1, average=560 B
tracemalloc/.tmp:472: size=544 B, count=1, average=544 B
tracemalloc/.tmp:448: size=544 B, count=1, average=544 B
tracemalloc/.tmp:448: size=544 B, count=1, average=544 B
tracemalloc/.tmp:448: size=544 B, count=1, average=544 B
tracemalloc/.tmp:448: size=544 B, count=1, average=544 B
tracemalloc/.tmp:676: size=536 B, count=1, average=536 B
tracemalloc/.tmp:480: size=520 B, count=1, average=520 B
tracemalloc/.tmp:520: size=512 B, count=1, average=512 B
tracemalloc/.tmp:54: size=504 B, count=1, average=504 B
tracemalloc/.tmp:527: size=496 B, count=1, average=496 B
tracemalloc/.tmp:432: size=496 B, count=1, average=496 B
tracemalloc/.tmp:353: size=488 B, count=2, average=244 B
tracemalloc/.tmp:641: size=488 B, count=1, average=488 B
tracemalloc/.tmp:471: size=480 B, count=1, average=480 B
tracemalloc/.tmp:275: size=472 B, count=1, average=472 B
tracemalloc/.tmp:58: size=472 B, count=1, average=472 B
tracemalloc/.tmp:440: size=464 B, count=1, average=464 B
tracemalloc/.tmp:92: size=464 B, count=1, average=464 B
tracemalloc/.tmp:522: size=456 B, count=1, average=456 B
tracemalloc/.tmp:521: size=456 B, count=1, average=456 B
tracemalloc/.tmp:483: size=456 B, count=1, average=456 B
tracemalloc/.tmp:478: size=456 B, count=1, average=456 B
tracemalloc/.tmp:345: size=456 B, count=1, average=456 B
tracemalloc/.tmp:328: size=456 B, count=1, average=456 B
tracemalloc/.tmp:278: size=456 B, count=1, average=456 B
tracemalloc/.tmp:236: size=456 B, count=1, average=456 B
tracemalloc/.tmp:195: size=456 B, count=1, average=456 B
tracemalloc/.tmp:79: size=456 B, count=1, average=456 B
tracemalloc/.tmp:426: size=448 B, count=1, average=448 B
tracemalloc/.tmp:250: size=448 B, count=1, average=448 B
tracemalloc/.tmp:163: size=448 B, count=1, average=448 B
tracemalloc/.tmp:672: size=440 B, count=1, average=440 B
tracemalloc/.tmp:356: size=440 B, count=1, average=440 B
tracemalloc/.tmp:253: size=440 B, count=1, average=440 B
tracemalloc/.tmp:214: size=440 B, count=1, average=440 B
tracemalloc/.tmp:661: size=424 B, count=1, average=424 B
tracemalloc/.tmp:624: size=416 B, count=1, average=416 B
tracemalloc/.tmp:190: size=416 B, count=1, average=416 B
tracemalloc/.tmp:358: size=384 B, count=6, average=64 B
tracemalloc/.tmp:660: size=288 B, count=2, average=144 B
tracemalloc/.tmp:58: size=256 B, count=4, average=64 B
tracemalloc/.tmp:338: size=192 B, count=3, average=64 B
tracemalloc/.tmp:655: size=136 B, count=1, average=136 B
tracemalloc/.tmp:627: size=136 B, count=1, average=136 B
tracemalloc/.tmp:525: size=136 B, count=1, average=136 B
tracemalloc/.tmp:477: size=136 B, count=1, average=136 B
tracemalloc/.tmp:470: size=136 B, count=1, average=136 B
tracemalloc/.tmp:454: size=136 B, count=1, average=136 B
tracemalloc/.tmp:424: size=136 B, count=1, average=136 B
tracemalloc/.tmp:384: size=136 B, count=1, average=136 B
tracemalloc/.tmp:348: size=136 B, count=1, average=136 B
tracemalloc/.tmp:343: size=136 B, count=1, average=136 B
tracemalloc/.tmp:326: size=136 B, count=1, average=136 B
tracemalloc/.tmp:241: size=136 B, count=1, average=136 B
tracemalloc/.tmp:235: size=136 B, count=1, average=136 B
tracemalloc/.tmp:230: size=136 B, count=1, average=136 B
tracemalloc/.tmp:223: size=136 B, count=1, average=136 B
tracemalloc/.tmp:220: size=136 B, count=1, average=136 B
tracemalloc/.tmp:217: size=136 B, count=1, average=136 B
tracemalloc/.tmp:208: size=136 B, count=1, average=136 B
tracemalloc/.tmp:186: size=136 B, count=1, average=136 B
tracemalloc/.tmp:176: size=136 B, count=1, average=136 B
tracemalloc/.tmp:155: size=136 B, count=1, average=136 B
tracemalloc/.tmp:142: size=136 B, count=1, average=136 B
tracemalloc/.tmp:129: size=136 B, count=1, average=136 B
tracemalloc/.tmp:123: size=136 B, count=1, average=136 B
tracemalloc/.tmp:112: size=136 B, count=1, average=136 B
tracemalloc/.tmp:103: size=136 B, count=1, average=136 B
tracemalloc/.tmp:94: size=136 B, count=1, average=136 B
tracemalloc/.tmp:89: size=136 B, count=1, average=136 B
tracemalloc/.tmp:81: size=136 B, count=1, average=136 B
