tracemalloc/.tmp:152: size=124 KiB, count=1587, average=80 B
tracemalloc/.tmp:123: size=64.4 KiB, count=916, average=72 B
tracemalloc/.tmp:199: size=57.8 KiB, count=970, average=61 B
tracemalloc/.tmp:123: size=31.4 KiB, count=446, average=72 B
tracemalloc/.tmp:152: size=29.2 KiB, count=374, average=80 B
tracemalloc/.tmp:199: size=29.1 KiB, count=459, average=65 B
tracemalloc/.tmp:208: size=12.9 KiB, count=143, average=92 B
tracemalloc/.tmp:158: size=2608 B, count=33, average=79 B
tracemalloc/.tmp:126: size=2412 B, count=7, average=345 B
tracemalloc/.tmp:193: size=1888 B, count=23, average=82 B
tracemalloc/.tmp:30: size=1728 B, count=27, average=64 B
tracemalloc/.tmp:71: size=1568 B, count=1, average=1568 B
tracemalloc/.tmp:257: size=1064 B, count=2, average=532 B
tracemalloc/.tmp:30: size=904 B, count=2, average=452 B
tracemalloc/.tmp:268: size=696 B, count=2, average=348 B
tracemalloc/.tmp:105: size=648 B, count=9, average=72 B
tracemalloc/.tmp:119: size=600 B, count=1, average=600 B
tracemalloc/.tmp:108: size=584 B, count=1, average=584 B
tracemalloc/.tmp:196: size=568 B, count=1, average=568 B
tracemalloc/.tmp:206: size=552 B, count=1, average=552 B
tracemalloc/.tmp:165: size=544 B, count=1, average=544 B
tracemalloc/.tmp:240: size=536 B, count=4, average=134 B
tracemalloc/.tmp:270: size=536 B, count=1, average=536 B
tracemalloc/.tmp:198: size=528 B, count=1, average=528 B
tracemalloc/.tmp:242: size=512 B, count=3, average=171 B
tracemalloc/.tmp:216: size=512 B, count=1, average=512 B
tracemalloc/.tmp:214: size=512 B, count=1, average=512 B
tracemalloc/.tmp:86: size=512 B, count=1, average=512 B
tracemalloc/.tmp:224: size=496 B, count=1, average=496 B
tracemalloc/.tmp:146: size=496 B, count=1, average=496 B
tracemalloc/.tmp:76: size=496 B, count=1, average=496 B
tracemalloc/.tmp:49: size=496 B, count=1, average=496 B
tracemalloc/.tmp:123: size=488 B, count=1, average=488 B
tracemalloc/.tmp:98: size=480 B, count=1, average=480 B
tracemalloc/.tmp:153: size=472 B, count=1, average=472 B
tracemalloc/.tmp:53: size=472 B, count=1, average=472 B
tracemalloc/.tmp:219: size=464 B, count=1, average=464 B
tracemalloc/.tmp:185: size=464 B, count=1, average=464 B
tracemalloc/.tmp:172: size=464 B, count=1, average=464 B
tracemalloc/.tmp:80: size=464 B, count=1, average=464 B
tracemalloc/.tmp:44: size=464 B, count=1, average=464 B
tracemalloc/.tmp:237: size=456 B, count=1, average=456 B
tracemalloc/.tmp:236: size=456 B, count=1, average=456 B
tracemalloc/.tmp:22: size=456 B, count=1, average=456 B
tracemalloc/.tmp:172: size=448 B, count=1, average=448 B
tracemalloc/.tmp:48: size=448 B, count=1, average=448 B
tracemalloc/.tmp:80: size=440 B, count=1, average=440 B
tracemalloc/.tmp:227: size=416 B, count=1, average=416 B
tracemalloc/.tmp:132: size=416 B, count=1, average=416 B
tracemalloc/.tmp:90: size=224 B, count=1, average=224 B
tracemalloc/.tmp:250: size=136 B, count=1, average=136 B
tracemalloc/.tmp:211: size=136 B, count=1, average=136 B
tracemalloc/.tmp:203: size=136 B, count=1, average=136 B
tracemalloc/.tmp:187: size=136 B, count=1, average=136 B
tracemalloc/.tmp:174: size=136 B, count=1, average=136 B
tracemalloc/.tmp:155: size=136 B, count=1, average=136 B
tracemalloc/.tmp:145: size=136 B, count=1, average=136 B
tracemalloc/.tmp:140: size=136 B, count=1, average=136 B
tracemalloc/.tmp:128: size=136 B, count=1, average=136 B
tracemalloc/.tmp:117: size=136 B, count=1, average=136 B
tracemalloc/.tmp:94: size=136 B, count=1, average=136 B
tracemalloc/.tmp:79: size=136 B, count=1, average=136 B
tracemalloc/.tmp:74: size=136 B, count=1, average=136 B
tracemalloc/.tmp:60: size=136 B, count=1, average=136 B
tracemalloc/.tmp:47: size=136 B, count=1, average=136 B
tracemalloc/.tmp:38: size=136 B, count=1, average=136 B
tracemalloc/.tmp:11: size=136 B, count=1, average=136 B
tracemalloc/.tmp:53: size=128 B, count=2, average=64 B
tracemalloc/.tmp:105: size=72 B, count=1, average=72 B
tracemalloc/.tmp:56: size=72 B, count=1, average=72 B
tracemalloc/.tmp:113: size=64 B, count=1, average=64 B
tracemalloc/.tmp:105: size=64 B, count=1, average=64 B
tracemalloc/.tmp:76: size=64 B, count=1, average=64 B
tracemalloc/.tmp:44: size=64 B, count=1, average=64 B
tracemalloc/.tmp:242: size=24 B, count=1, average=24 B
tracemalloc/.tmp:152: size=126 KiB, count=1617, average=80 B
tracemalloc/.tmp:199: size=62.3 KiB, count=1036, average=62 B
tracemalloc/.tmp:123: size=57.7 KiB, count=820, average=72 B
tracemalloc/.tmp:123: size=38.7 KiB, count=550, average=72 B
tracemalloc/.tmp:152: size=27.0 KiB, count=345, average=80 B
tracemalloc/.tmp:199: size=24.8 KiB, count=396, average=64 B
tracemalloc/.tmp:208: size=12.1 KiB, count=133, average=93 B
tracemalloc/.tmp:126: size=2412 B, count=7, average=345 B
tracemalloc/.tmp:30: size=2368 B, count=37, average=64 B
tracemalloc/.tmp:158: size=1768 B, count=27, average=65 B
tracemalloc/.tmp:71: size=1568 B, count=1, average=1568 B
tracemalloc/.tmp:193: size=1152 B, count=18, average=64 B
tracemalloc/.tmp:257: size=1064 B, count=2, average=532 B
tracemalloc/.tmp:30: size=904 B, count=2, average=452 B
tracemalloc/.tmp:268: size=696 B, count=2, average=348 B
tracemalloc/.tmp:105: size=648 B, count=9, average=72 B
tracemalloc/.tmp:152: size=640 B, count=8, average=80 B
tracemalloc/.tmp:119: size=600 B, count=1, average=600 B
tracemalloc/.tmp:108: size=584 B, count=1, average=584 B
tracemalloc/.tmp:196: size=568 B, count=1, average=568 B
tracemalloc/.tmp:206: size=552 B, count=1, average=552 B
tracemalloc/.tmp:165: size=544 B, count=1, average=544 B
tracemalloc/.tmp:270: size=536 B, count=1, average=536 B
tracemalloc/.tmp:158: size=536 B, count=1, average=536 B
tracemalloc/.tmp:198: size=528 B, count=1, average=528 B
tracemalloc/.tmp:216: size=512 B, count=1, average=512 B
tracemalloc/.tmp:214: size=512 B, count=1, average=512 B
tracemalloc/.tmp:86: size=512 B, count=1, average=512 B
tracemalloc/.tmp:199: size=504 B, count=2, average=252 B
tracemalloc/.tmp:224: size=496 B, count=1, average=496 B
tracemalloc/.tmp:146: size=496 B, count=1, average=496 B
tracemalloc/.tmp:76: size=496 B, count=1, average=496 B
tracemalloc/.tmp:49: size=496 B, count=1, average=496 B
tracemalloc/.tmp:123: size=488 B, count=1, average=488 B
tracemalloc/.tmp:193: size=480 B, count=1, average=480 B
tracemalloc/.tmp:98: size=480 B, count=1, average=480 B
tracemalloc/.tmp:153: size=472 B, count=1, average=472 B
tracemalloc/.tmp:53: size=472 B, count=1, average=472 B
