tracemalloc/.tmp:117: size=3328 B, count=52, average=64 B
tracemalloc/.tmp:116: size=2160 B, count=90, average=24 B
tracemalloc/.tmp:26: size=1592 B, count=2, average=796 B
tracemalloc/.tmp:207: size=656 B, count=1, average=656 B
tracemalloc/.tmp:184: size=656 B, count=1, average=656 B
tracemalloc/.tmp:184: size=656 B, count=1, average=656 B
tracemalloc/.tmp:184: size=656 B, count=1, average=656 B
tracemalloc/.tmp:184: size=656 B, count=1, average=656 B
tracemalloc/.tmp:184: size=656 B, count=1, average=656 B
tracemalloc/.tmp:218: size=640 B, count=1, average=640 B
tracemalloc/.tmp:221: size=576 B, count=1, average=576 B
tracemalloc/.tmp:97: size=552 B, count=2, average=276 B
tracemalloc/.tmp:93: size=552 B, count=2, average=276 B
tracemalloc/.tmp:222: size=552 B, count=1, average=552 B
tracemalloc/.tmp:227: size=536 B, count=1, average=536 B
tracemalloc/.tmp:231: size=528 B, count=1, average=528 B
tracemalloc/.tmp:144: size=520 B, count=2, average=260 B
tracemalloc/.tmp:223: size=504 B, count=1, average=504 B
tracemalloc/.tmp:159: size=504 B, count=1, average=504 B
tracemalloc/.tmp:142: size=488 B, count=1, average=488 B
tracemalloc/.tmp:136: size=480 B, count=1, average=480 B
tracemalloc/.tmp:125: size=480 B, count=1, average=480 B
tracemalloc/.tmp:121: size=480 B, count=1, average=480 B
tracemalloc/.tmp:90: size=480 B, count=1, average=480 B
tracemalloc/.tmp:159: size=472 B, count=1, average=472 B
tracemalloc/.tmp:160: size=464 B, count=1, average=464 B
tracemalloc/.tmp:98: size=464 B, count=1, average=464 B
tracemalloc/.tmp:94: size=464 B, count=1, average=464 B
tracemalloc/.tmp:160: size=456 B, count=1, average=456 B
tracemalloc/.tmp:160: size=456 B, count=1, average=456 B
tracemalloc/.tmp:108: size=456 B, count=1, average=456 B
tracemalloc/.tmp:104: size=456 B, count=1, average=456 B
tracemalloc/.tmp:121: size=448 B, count=1, average=448 B
tracemalloc/.tmp:204: size=256 B, count=4, average=64 B
tracemalloc/.tmp:94: size=256 B, count=4, average=64 B
tracemalloc/.tmp:217: size=136 B, count=1, average=136 B
tracemalloc/.tmp:197: size=136 B, count=1, average=136 B
tracemalloc/.tmp:166: size=136 B, count=1, average=136 B
tracemalloc/.tmp:140: size=136 B, count=1, average=136 B
tracemalloc/.tmp:131: size=136 B, count=1, average=136 B
tracemalloc/.tmp:120: size=136 B, count=1, average=136 B
tracemalloc/.tmp:112: size=136 B, count=1, average=136 B
tracemalloc/.tmp:101: size=136 B, count=1, average=136 B
tracemalloc/.tmp:173: size=128 B, count=2, average=64 B
tracemalloc/.tmp:209: size=120 B, count=5, average=24 B
tracemalloc/.tmp:186: size=64 B, count=1, average=64 B
tracemalloc/.tmp:181: size=64 B, count=1, average=64 B
tracemalloc/.tmp:181: size=64 B, count=1, average=64 B
tracemalloc/.tmp:181: size=64 B, count=1, average=64 B
tracemalloc/.tmp:181: size=64 B, count=1, average=64 B
tracemalloc/.tmp:181: size=64 B, count=1, average=64 B
tracemalloc/.tmp:173: size=64 B, count=1, average=64 B
tracemalloc/.tmp:173: size=64 B, count=1, average=64 B
tracemalloc/.tmp:173: size=64 B, count=1, average=64 B
