tracemalloc/.tmp:29: size=219 KiB, count=1998, average=112 B
tracemalloc/.tmp:11: size=936 B, count=2, average=468 B
tracemalloc/.tmp:56: size=744 B, count=5, average=149 B
tracemalloc/.tmp:60: size=696 B, count=2, average=348 B
tracemalloc/.tmp:19: size=680 B, count=3, average=227 B
tracemalloc/.tmp:64: size=528 B, count=1, average=528 B
tracemalloc/.tmp:49: size=520 B, count=1, average=520 B
tracemalloc/.tmp:51: size=456 B, count=1, average=456 B
tracemalloc/.tmp:50: size=456 B, count=1, average=456 B
tracemalloc/.tmp:18: size=256 B, count=4, average=64 B
tracemalloc/.tmp:17: size=256 B, count=4, average=64 B
tracemalloc/.tmp:55: size=136 B, count=1, average=136 B
tracemalloc/.tmp:36: size=136 B, count=1, average=136 B
tracemalloc/.tmp:29: size=219 KiB, count=1998, average=112 B
tracemalloc/.tmp:11: size=936 B, count=2, average=468 B
tracemalloc/.tmp:60: size=696 B, count=2, average=348 B
tracemalloc/.tmp:19: size=568 B, count=2, average=284 B
tracemalloc/.tmp:56: size=552 B, count=2, average=276 B
tracemalloc/.tmp:64: size=528 B, count=1, average=528 B
tracemalloc/.tmp:49: size=520 B, count=1, average=520 B
tracemalloc/.tmp:51: size=456 B, count=1, average=456 B
tracemalloc/.tmp:50: size=456 B, count=1, average=456 B
tracemalloc/.tmp:56: size=192 B, count=3, average=64 B
tracemalloc/.tmp:18: size=192 B, count=3, average=64 B
tracemalloc/.tmp:17: size=192 B, count=3, average=64 B
tracemalloc/.tmp:55: size=136 B, count=1, average=136 B
tracemalloc/.tmp:36: size=136 B, count=1, average=136 B
tracemalloc/.tmp:19: size=112 B, count=1, average=112 B
tracemalloc/.tmp:18: size=64 B, count=1, average=64 B
tracemalloc/.tmp:17: size=64 B, count=1, average=64 B
tracemalloc/.tmp:29: size=219 KiB, count=1998, average=112 B
tracemalloc/.tmp:11: size=936 B, count=2, average=468 B
tracemalloc/.tmp:60: size=696 B, count=2, average=348 B
tracemalloc/.tmp:19: size=568 B, count=2, average=284 B
tracemalloc/.tmp:56: size=552 B, count=2, average=276 B
tracemalloc/.tmp:64: size=528 B, count=1, average=528 B
tracemalloc/.tmp:49: size=520 B, count=1, average=520 B
tracemalloc/.tmp:51: size=456 B, count=1, average=456 B
tracemalloc/.tmp:50: size=456 B, count=1, average=456 B
tracemalloc/.tmp:56: size=192 B, count=3, average=64 B
tracemalloc/.tmp:18: size=192 B, count=3, average=64 B
tracemalloc/.tmp:17: size=192 B, count=3, average=64 B
tracemalloc/.tmp:55: size=136 B, count=1, average=136 B
tracemalloc/.tmp:36: size=136 B, count=1, average=136 B
tracemalloc/.tmp:19: size=112 B, count=1, average=112 B
tracemalloc/.tmp:18: size=64 B, count=1, average=64 B
tracemalloc/.tmp:17: size=64 B, count=1, average=64 B
tracemalloc/.tmp:29: size=219 KiB, count=1998, average=112 B
tracemalloc/.tmp:11: size=936 B, count=2, average=468 B
tracemalloc/.tmp:60: size=696 B, count=2, average=348 B
tracemalloc/.tmp:19: size=568 B, count=2, average=284 B
tracemalloc/.tmp:56: size=552 B, count=2, average=276 B
tracemalloc/.tmp:64: size=528 B, count=1, average=528 B
tracemalloc/.tmp:49: size=520 B, count=1, average=520 B
tracemalloc/.tmp:51: size=456 B, count=1, average=456 B
tracemalloc/.tmp:50: size=456 B, count=1, average=456 B
tracemalloc/.tmp:56: size=192 B, count=3, average=64 B
tracemalloc/.tmp:18: size=192 B, count=3, average=64 B
tracemalloc/.tmp:17: size=192 B, count=3, average=64 B
