tracemalloc/.tmp:80: size=1568 B, count=1, average=1568 B
tracemalloc/.tmp:90: size=712 B, count=1, average=712 B
tracemalloc/.tmp:76: size=696 B, count=2, average=348 B
tracemalloc/.tmp:40: size=568 B, count=1, average=568 B
tracemalloc/.tmp:88: size=536 B, count=1, average=536 B
tracemalloc/.tmp:86: size=520 B, count=1, average=520 B
tracemalloc/.tmp:65: size=488 B, count=1, average=488 B
tracemalloc/.tmp:41: size=480 B, count=1, average=480 B
tracemalloc/.tmp:49: size=472 B, count=1, average=472 B
tracemalloc/.tmp:52: size=456 B, count=1, average=456 B
tracemalloc/.tmp:55: size=432 B, count=1, average=432 B
tracemalloc/.tmp:48: size=136 B, count=1, average=136 B
tracemalloc/.tmp:39: size=136 B, count=1, average=136 B
tracemalloc/.tmp:30: size=136 B, count=1, average=136 B
tracemalloc/.tmp:80: size=1568 B, count=1, average=1568 B
tracemalloc/.tmp:90: size=712 B, count=1, average=712 B
tracemalloc/.tmp:76: size=696 B, count=2, average=348 B
tracemalloc/.tmp:40: size=568 B, count=1, average=568 B
tracemalloc/.tmp:88: size=536 B, count=1, average=536 B
tracemalloc/.tmp:86: size=520 B, count=1, average=520 B
tracemalloc/.tmp:65: size=488 B, count=1, average=488 B
tracemalloc/.tmp:41: size=480 B, count=1, average=480 B
tracemalloc/.tmp:49: size=472 B, count=1, average=472 B
tracemalloc/.tmp:52: size=456 B, count=1, average=456 B
tracemalloc/.tmp:55: size=432 B, count=1, average=432 B
tracemalloc/.tmp:48: size=136 B, count=1, average=136 B
tracemalloc/.tmp:39: size=136 B, count=1, average=136 B
tracemalloc/.tmp:30: size=136 B, count=1, average=136 B
tracemalloc/.tmp:80: size=1568 B, count=1, average=1568 B
tracemalloc/.tmp:90: size=712 B, count=1, average=712 B
tracemalloc/.tmp:76: size=696 B, count=2, average=348 B
tracemalloc/.tmp:40: size=568 B, count=1, average=568 B
tracemalloc/.tmp:88: size=536 B, count=1, average=536 B
tracemalloc/.tmp:86: size=520 B, count=1, average=520 B
tracemalloc/.tmp:65: size=488 B, count=1, average=488 B
tracemalloc/.tmp:41: size=480 B, count=1, average=480 B
tracemalloc/.tmp:49: size=472 B, count=1, average=472 B
tracemalloc/.tmp:52: size=456 B, count=1, average=456 B
tracemalloc/.tmp:55: size=432 B, count=1, average=432 B
tracemalloc/.tmp:48: size=136 B, count=1, average=136 B
tracemalloc/.tmp:39: size=136 B, count=1, average=136 B
tracemalloc/.tmp:30: size=136 B, count=1, average=136 B
tracemalloc/.tmp:80: size=1568 B, count=1, average=1568 B
tracemalloc/.tmp:90: size=712 B, count=1, average=712 B
tracemalloc/.tmp:76: size=696 B, count=2, average=348 B
tracemalloc/.tmp:40: size=568 B, count=1, average=568 B
tracemalloc/.tmp:88: size=536 B, count=1, average=536 B
tracemalloc/.tmp:86: size=520 B, count=1, average=520 B
tracemalloc/.tmp:65: size=488 B, count=1, average=488 B
tracemalloc/.tmp:41: size=480 B, count=1, average=480 B
tracemalloc/.tmp:49: size=472 B, count=1, average=472 B
tracemalloc/.tmp:52: size=456 B, count=1, average=456 B
tracemalloc/.tmp:55: size=432 B, count=1, average=432 B
tracemalloc/.tmp:48: size=136 B, count=1, average=136 B
tracemalloc/.tmp:39: size=136 B, count=1, average=136 B
tracemalloc/.tmp:30: size=136 B, count=1, average=136 B
tracemalloc/.tmp:80: size=1568 B, count=1, average=1568 B
tracemalloc/.tmp:90: size=712 B, count=1, average=712 B
tracemalloc/.tmp:76: size=696 B, count=2, average=348 B
tracemalloc/.tmp:40: size=568 B, count=1, average=568 B
tracemalloc/.tmp:88: size=536 B, count=1, average=536 B
tracemalloc/.tmp:86: size=520 B, count=1, average=520 B
tracemalloc/.tmp:65: size=488 B, count=1, average=488 B
tracemalloc/.tmp:41: size=480 B, count=1, average=480 B
tracemalloc/.tmp:49: size=472 B, count=1, average=472 B
tracemalloc/.tmp:52: size=456 B, count=1, average=456 B
tracemalloc/.tmp:55: size=432 B, count=1, average=432 B
tracemalloc/.tmp:48: size=136 B, count=1, average=136 B
tracemalloc/.tmp:39: size=136 B, count=1, average=136 B
tracemalloc/.tmp:30: size=136 B, count=1, average=136 B
tracemalloc/.tmp:80: size=1568 B, count=1, average=1568 B
tracemalloc/.tmp:90: size=712 B, count=1, average=712 B
tracemalloc/.tmp:76: size=696 B, count=2, average=348 B
tracemalloc/.tmp:40: size=568 B, count=1, average=568 B
tracemalloc/.tmp:88: size=536 B, count=1, average=536 B
tracemalloc/.tmp:86: size=520 B, count=1, average=520 B
tracemalloc/.tmp:65: size=488 B, count=1, average=488 B
tracemalloc/.tmp:41: size=480 B, count=1, average=480 B
tracemalloc/.tmp:49: size=472 B, count=1, average=472 B
tracemalloc/.tmp:52: size=456 B, count=1, average=456 B
tracemalloc/.tmp:55: size=432 B, count=1, average=432 B
tracemalloc/.tmp:48: size=136 B, count=1, average=136 B
tracemalloc/.tmp:39: size=136 B, count=1, average=136 B
tracemalloc/.tmp:30: size=136 B, count=1, average=136 B
tracemalloc/.tmp:80: size=1568 B, count=1, average=1568 B
tracemalloc/.tmp:90: size=712 B, count=1, average=712 B
tracemalloc/.tmp:76: size=696 B, count=2, average=348 B
tracemalloc/.tmp:40: size=568 B, count=1, average=568 B
tracemalloc/.tmp:88: size=536 B, count=1, average=536 B
tracemalloc/.tmp:86: size=520 B, count=1, average=520 B
tracemalloc/.tmp:65: size=488 B, count=1, average=488 B
tracemalloc/.tmp:41: size=480 B, count=1, average=480 B
tracemalloc/.tmp:49: size=472 B, count=1, average=472 B
tracemalloc/.tmp:52: size=456 B, count=1, average=456 B
tracemalloc/.tmp:55: size=432 B, count=1, average=432 B
tracemalloc/.tmp:48: size=136 B, count=1, average=136 B
tracemalloc/.tmp:39: size=136 B, count=1, average=136 B
tracemalloc/.tmp:30: size=136 B, count=1, average=136 B
tracemalloc/.tmp:80: size=1568 B, count=1, average=1568 B
tracemalloc/.tmp:90: size=712 B, count=1, average=712 B
tracemalloc/.tmp:76: size=696 B, count=2, average=348 B
tracemalloc/.tmp:40: size=568 B, count=1, average=568 B
tracemalloc/.tmp:88: size=536 B, count=1, average=536 B
tracemalloc/.tmp:86: size=520 B, count=1, average=520 B
tracemalloc/.tmp:65: size=488 B, count=1, average=488 B
tracemalloc/.tmp:41: size=480 B, count=1, average=480 B
