tracemalloc/.tmp:63: size=2264 B, count=3, average=755 B
tracemalloc/.tmp:48: size=992 B, count=2, average=496 B
tracemalloc/.tmp:55: size=728 B, count=5, average=146 B
tracemalloc/.tmp:73: size=528 B, count=1, average=528 B
tracemalloc/.tmp:46: size=488 B, count=1, average=488 B
tracemalloc/.tmp:70: size=440 B, count=1, average=440 B
tracemalloc/.tmp:44: size=440 B, count=1, average=440 B
tracemalloc/.tmp:58: size=136 B, count=1, average=136 B
tracemalloc/.tmp:54: size=136 B, count=1, average=136 B
tracemalloc/.tmp:42: size=136 B, count=1, average=136 B
tracemalloc/.tmp:37: size=136 B, count=1, average=136 B
tracemalloc/.tmp:28: size=136 B, count=1, average=136 B
tracemalloc/.tmp:24: size=136 B, count=1, average=136 B
tracemalloc/.tmp:68: size=93 B, count=1, average=93 B
tracemalloc/.tmp:63: size=2264 B, count=3, average=755 B
tracemalloc/.tmp:48: size=992 B, count=2, average=496 B
tracemalloc/.tmp:55: size=536 B, count=2, average=268 B
tracemalloc/.tmp:73: size=528 B, count=1, average=528 B
tracemalloc/.tmp:46: size=488 B, count=1, average=488 B
tracemalloc/.tmp:70: size=440 B, count=1, average=440 B
tracemalloc/.tmp:44: size=440 B, count=1, average=440 B
tracemalloc/.tmp:55: size=192 B, count=3, average=64 B
tracemalloc/.tmp:58: size=136 B, count=1, average=136 B
tracemalloc/.tmp:54: size=136 B, count=1, average=136 B
tracemalloc/.tmp:42: size=136 B, count=1, average=136 B
tracemalloc/.tmp:37: size=136 B, count=1, average=136 B
tracemalloc/.tmp:28: size=136 B, count=1, average=136 B
tracemalloc/.tmp:24: size=136 B, count=1, average=136 B
tracemalloc/.tmp:68: size=93 B, count=1, average=93 B
tracemalloc/.tmp:63: size=2264 B, count=3, average=755 B
tracemalloc/.tmp:48: size=992 B, count=2, average=496 B
tracemalloc/.tmp:55: size=536 B, count=2, average=268 B
tracemalloc/.tmp:73: size=528 B, count=1, average=528 B
tracemalloc/.tmp:46: size=488 B, count=1, average=488 B
