tracemalloc/.tmp:11: size=936 B, count=2, average=468 B
tracemalloc/.tmp:19: size=696 B, count=2, average=348 B
tracemalloc/.tmp:39: size=480 B, count=1, average=480 B
tracemalloc/.tmp:24: size=440 B, count=1, average=440 B
tracemalloc/.tmp:37: size=48 B, count=1, average=48 B
tracemalloc/.tmp:11: size=936 B, count=2, average=468 B
tracemalloc/.tmp:19: size=696 B, count=2, average=348 B
tracemalloc/.tmp:39: size=480 B, count=1, average=480 B
tracemalloc/.tmp:24: size=440 B, count=1, average=440 B
tracemalloc/.tmp:37: size=48 B, count=1, average=48 B
tracemalloc/.tmp:11: size=936 B, count=2, average=468 B
tracemalloc/.tmp:19: size=696 B, count=2, average=348 B
tracemalloc/.tmp:39: size=480 B, count=1, average=480 B
tracemalloc/.tmp:24: size=440 B, count=1, average=440 B
tracemalloc/.tmp:37: size=48 B, count=1, average=48 B
tracemalloc/.tmp:11: size=936 B, count=2, average=468 B
tracemalloc/.tmp:19: size=696 B, count=2, average=348 B
tracemalloc/.tmp:39: size=480 B, count=1, average=480 B
tracemalloc/.tmp:24: size=440 B, count=1, average=440 B
tracemalloc/.tmp:37: size=48 B, count=1, average=48 B
tracemalloc/.tmp:11: size=936 B, count=2, average=468 B
tracemalloc/.tmp:19: size=696 B, count=2, average=348 B
tracemalloc/.tmp:39: size=480 B, count=1, average=480 B
tracemalloc/.tmp:24: size=440 B, count=1, average=440 B
tracemalloc/.tmp:37: size=48 B, count=1, average=48 B
tracemalloc/.tmp:11: size=936 B, count=2, average=468 B
tracemalloc/.tmp:19: size=696 B, count=2, average=348 B
tracemalloc/.tmp:39: size=480 B, count=1, average=480 B
tracemalloc/.tmp:24: size=440 B, count=1, average=440 B
tracemalloc/.tmp:37: size=48 B, count=1, average=48 B
tracemalloc/.tmp:11: size=936 B, count=2, average=468 B
tracemalloc/.tmp:19: size=696 B, count=2, average=348 B
tracemalloc/.tmp:39: size=480 B, count=1, average=480 B
tracemalloc/.tmp:24: size=440 B, count=1, average=440 B
tracemalloc/.tmp:37: size=48 B, count=1, average=48 B
tracemalloc/.tmp:11: size=936 B, count=2, average=468 B
tracemalloc/.tmp:19: size=696 B, count=2, average=348 B
tracemalloc/.tmp:39: size=480 B, count=1, average=480 B
tracemalloc/.tmp:24: size=440 B, count=1, average=440 B
tracemalloc/.tmp:37: size=48 B, count=1, average=48 B
tracemalloc/.tmp:11: size=936 B, count=2, average=468 B
tracemalloc/.tmp:19: size=696 B, count=2, average=348 B
tracemalloc/.tmp:39: size=480 B, count=1, average=480 B
tracemalloc/.tmp:24: size=440 B, count=1, average=440 B
tracemalloc/.tmp:37: size=48 B, count=1, average=48 B
tracemalloc/.tmp:11: size=936 B, count=2, average=468 B
tracemalloc/.tmp:19: size=696 B, count=2, average=348 B
tracemalloc/.tmp:39: size=480 B, count=1, average=480 B
tracemalloc/.tmp:24: size=440 B, count=1, average=440 B
tracemalloc/.tmp:37: size=48 B, count=1, average=48 B
tracemalloc/.tmp:11: size=936 B, count=2, average=468 B
tracemalloc/.tmp:19: size=696 B, count=2, average=348 B
tracemalloc/.tmp:39: size=480 B, count=1, average=480 B
tracemalloc/.tmp:24: size=440 B, count=1, average=440 B
tracemalloc/.tmp:37: size=48 B, count=1, average=48 B
tracemalloc/.tmp:11: size=936 B, count=2, average=468 B
tracemalloc/.tmp:19: size=696 B, count=2, average=348 B
tracemalloc/.tmp:39: size=480 B, count=1, average=480 B
tracemalloc/.tmp:24: size=440 B, count=1, average=440 B
tracemalloc/.tmp:37: size=48 B, count=1, average=48 B
tracemalloc/.tmp:11: size=936 B, count=2, average=468 B
tracemalloc/.tmp:19: size=696 B, count=2, average=348 B
tracemalloc/.tmp:39: size=480 B, count=1, average=480 B
tracemalloc/.tmp:24: size=440 B, count=1, average=440 B
tracemalloc/.tmp:37: size=48 B, count=1, average=48 B
tracemalloc/.tmp:11: size=936 B, count=2, average=468 B
tracemalloc/.tmp:19: size=696 B, count=2, average=348 B
