tracemalloc/.tmp:494: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:171: size=848 B, count=1, average=848 B
tracemalloc/.tmp:164: size=848 B, count=1, average=848 B
tracemalloc/.tmp:152: size=824 B, count=2, average=412 B
tracemalloc/.tmp:274: size=792 B, count=1, average=792 B
tracemalloc/.tmp:1794: size=536 B, count=1, average=536 B
tracemalloc/.tmp:1775: size=464 B, count=1, average=464 B
tracemalloc/.tmp:149: size=264 B, count=2, average=132 B
tracemalloc/.tmp:137: size=230 B, count=2, average=115 B
tracemalloc/.tmp:151: size=198 B, count=2, average=99 B
tracemalloc/.tmp:124: size=196 B, count=2, average=98 B
tracemalloc/.tmp:139: size=190 B, count=2, average=95 B
tracemalloc/.tmp:1787: size=144 B, count=6, average=24 B
tracemalloc/.tmp:1772: size=136 B, count=1, average=136 B
tracemalloc/.tmp:1320: size=136 B, count=1, average=136 B
tracemalloc/.tmp:1166: size=136 B, count=1, average=136 B
tracemalloc/.tmp:984: size=136 B, count=1, average=136 B
tracemalloc/.tmp:900: size=136 B, count=1, average=136 B
tracemalloc/.tmp:832: size=136 B, count=1, average=136 B
tracemalloc/.tmp:740: size=136 B, count=1, average=136 B
tracemalloc/.tmp:679: size=136 B, count=1, average=136 B
tracemalloc/.tmp:607: size=136 B, count=1, average=136 B
tracemalloc/.tmp:431: size=136 B, count=1, average=136 B
tracemalloc/.tmp:358: size=136 B, count=1, average=136 B
tracemalloc/.tmp:279: size=136 B, count=1, average=136 B
tracemalloc/.tmp:1322: size=72 B, count=1, average=72 B
tracemalloc/.tmp:1015: size=72 B, count=1, average=72 B
tracemalloc/.tmp:850: size=72 B, count=1, average=72 B
tracemalloc/.tmp:150: size=64 B, count=1, average=64 B
tracemalloc/.tmp:147: size=64 B, count=1, average=64 B
tracemalloc/.tmp:146: size=64 B, count=1, average=64 B
tracemalloc/.tmp:145: size=64 B, count=1, average=64 B
tracemalloc/.tmp:144: size=64 B, count=1, average=64 B
tracemalloc/.tmp:143: size=64 B, count=1, average=64 B
tracemalloc/.tmp:142: size=64 B, count=1, average=64 B
tracemalloc/.tmp:141: size=64 B, count=1, average=64 B
tracemalloc/.tmp:140: size=64 B, count=1, average=64 B
tracemalloc/.tmp:138: size=64 B, count=1, average=64 B
tracemalloc/.tmp:135: size=64 B, count=1, average=64 B
tracemalloc/.tmp:134: size=64 B, count=1, average=64 B
tracemalloc/.tmp:133: size=64 B, count=1, average=64 B
tracemalloc/.tmp:132: size=64 B, count=1, average=64 B
tracemalloc/.tmp:131: size=64 B, count=1, average=64 B
tracemalloc/.tmp:130: size=64 B, count=1, average=64 B
tracemalloc/.tmp:129: size=64 B, count=1, average=64 B
tracemalloc/.tmp:128: size=64 B, count=1, average=64 B
tracemalloc/.tmp:127: size=64 B, count=1, average=64 B
tracemalloc/.tmp:126: size=64 B, count=1, average=64 B
tracemalloc/.tmp:125: size=64 B, count=1, average=64 B
tracemalloc/.tmp:123: size=64 B, count=1, average=64 B
tracemalloc/.tmp:122: size=64 B, count=1, average=64 B
tracemalloc/.tmp:121: size=64 B, count=1, average=64 B
tracemalloc/.tmp:120: size=64 B, count=1, average=64 B
tracemalloc/.tmp:119: size=64 B, count=1, average=64 B
tracemalloc/.tmp:118: size=64 B, count=1, average=64 B
tracemalloc/.tmp:117: size=64 B, count=1, average=64 B
tracemalloc/.tmp:116: size=64 B, count=1, average=64 B
tracemalloc/.tmp:115: size=64 B, count=1, average=64 B
tracemalloc/.tmp:114: size=64 B, count=1, average=64 B
tracemalloc/.tmp:113: size=64 B, count=1, average=64 B
tracemalloc/.tmp:112: size=64 B, count=1, average=64 B
tracemalloc/.tmp:111: size=64 B, count=1, average=64 B
tracemalloc/.tmp:110: size=64 B, count=1, average=64 B
tracemalloc/.tmp:109: size=64 B, count=1, average=64 B
tracemalloc/.tmp:108: size=64 B, count=1, average=64 B
tracemalloc/.tmp:107: size=64 B, count=1, average=64 B
tracemalloc/.tmp:106: size=64 B, count=1, average=64 B
tracemalloc/.tmp:105: size=64 B, count=1, average=64 B
tracemalloc/.tmp:104: size=64 B, count=1, average=64 B
tracemalloc/.tmp:103: size=64 B, count=1, average=64 B
tracemalloc/.tmp:102: size=64 B, count=1, average=64 B
tracemalloc/.tmp:101: size=64 B, count=1, average=64 B
tracemalloc/.tmp:100: size=64 B, count=1, average=64 B
tracemalloc/.tmp:99: size=64 B, count=1, average=64 B
tracemalloc/.tmp:98: size=64 B, count=1, average=64 B
tracemalloc/.tmp:97: size=64 B, count=1, average=64 B
tracemalloc/.tmp:96: size=64 B, count=1, average=64 B
tracemalloc/.tmp:95: size=64 B, count=1, average=64 B
tracemalloc/.tmp:94: size=64 B, count=1, average=64 B
tracemalloc/.tmp:93: size=64 B, count=1, average=64 B
tracemalloc/.tmp:92: size=64 B, count=1, average=64 B
tracemalloc/.tmp:91: size=64 B, count=1, average=64 B
tracemalloc/.tmp:90: size=64 B, count=1, average=64 B
tracemalloc/.tmp:89: size=64 B, count=1, average=64 B
tracemalloc/.tmp:88: size=64 B, count=1, average=64 B
tracemalloc/.tmp:87: size=64 B, count=1, average=64 B
tracemalloc/.tmp:86: size=64 B, count=1, average=64 B
tracemalloc/.tmp:85: size=64 B, count=1, average=64 B
tracemalloc/.tmp:84: size=64 B, count=1, average=64 B
tracemalloc/.tmp:83: size=64 B, count=1, average=64 B
tracemalloc/.tmp:82: size=64 B, count=1, average=64 B
tracemalloc/.tmp:81: size=64 B, count=1, average=64 B
tracemalloc/.tmp:80: size=64 B, count=1, average=64 B
tracemalloc/.tmp:79: size=64 B, count=1, average=64 B
tracemalloc/.tmp:78: size=64 B, count=1, average=64 B
tracemalloc/.tmp:77: size=64 B, count=1, average=64 B
tracemalloc/.tmp:76: size=64 B, count=1, average=64 B
tracemalloc/.tmp:75: size=64 B, count=1, average=64 B
tracemalloc/.tmp:74: size=64 B, count=1, average=64 B
tracemalloc/.tmp:73: size=64 B, count=1, average=64 B
tracemalloc/.tmp:72: size=64 B, count=1, average=64 B
tracemalloc/.tmp:71: size=64 B, count=1, average=64 B
tracemalloc/.tmp:70: size=64 B, count=1, average=64 B
tracemalloc/.tmp:69: size=64 B, count=1, average=64 B
tracemalloc/.tmp:68: size=64 B, count=1, average=64 B
tracemalloc/.tmp:1791: size=56 B, count=1, average=56 B
tracemalloc/.tmp:494: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:171: size=848 B, count=1, average=848 B
tracemalloc/.tmp:164: size=848 B, count=1, average=848 B
tracemalloc/.tmp:152: size=824 B, count=2, average=412 B
tracemalloc/.tmp:274: size=792 B, count=1, average=792 B
tracemalloc/.tmp:1794: size=536 B, count=1, average=536 B
tracemalloc/.tmp:1775: size=464 B, count=1, average=464 B
tracemalloc/.tmp:149: size=264 B, count=2, average=132 B
tracemalloc/.tmp:137: size=230 B, count=2, average=115 B
tracemalloc/.tmp:151: size=198 B, count=2, average=99 B
tracemalloc/.tmp:124: size=196 B, count=2, average=98 B
tracemalloc/.tmp:139: size=190 B, count=2, average=95 B
tracemalloc/.tmp:1772: size=136 B, count=1, average=136 B
tracemalloc/.tmp:1320: size=136 B, count=1, average=136 B
tracemalloc/.tmp:1166: size=136 B, count=1, average=136 B
tracemalloc/.tmp:984: size=136 B, count=1, average=136 B
tracemalloc/.tmp:900: size=136 B, count=1, average=136 B
tracemalloc/.tmp:832: size=136 B, count=1, average=136 B
tracemalloc/.tmp:740: size=136 B, count=1, average=136 B
tracemalloc/.tmp:679: size=136 B, count=1, average=136 B
tracemalloc/.tmp:607: size=136 B, count=1, average=136 B
tracemalloc/.tmp:431: size=136 B, count=1, average=136 B
tracemalloc/.tmp:358: size=136 B, count=1, average=136 B
tracemalloc/.tmp:279: size=136 B, count=1, average=136 B
tracemalloc/.tmp:1787: size=96 B, count=4, average=24 B
tracemalloc/.tmp:1322: size=72 B, count=1, average=72 B
tracemalloc/.tmp:1015: size=72 B, count=1, average=72 B
tracemalloc/.tmp:850: size=72 B, count=1, average=72 B
tracemalloc/.tmp:150: size=64 B, count=1, average=64 B
tracemalloc/.tmp:147: size=64 B, count=1, average=64 B
tracemalloc/.tmp:146: size=64 B, count=1, average=64 B
tracemalloc/.tmp:145: size=64 B, count=1, average=64 B
tracemalloc/.tmp:144: size=64 B, count=1, average=64 B
tracemalloc/.tmp:143: size=64 B, count=1, average=64 B
tracemalloc/.tmp:142: size=64 B, count=1, average=64 B
tracemalloc/.tmp:141: size=64 B, count=1, average=64 B
tracemalloc/.tmp:140: size=64 B, count=1, average=64 B
tracemalloc/.tmp:138: size=64 B, count=1, average=64 B
tracemalloc/.tmp:135: size=64 B, count=1, average=64 B
tracemalloc/.tmp:134: size=64 B, count=1, average=64 B
tracemalloc/.tmp:133: size=64 B, count=1, average=64 B
tracemalloc/.tmp:132: size=64 B, count=1, average=64 B
tracemalloc/.tmp:131: size=64 B, count=1, average=64 B
tracemalloc/.tmp:130: size=64 B, count=1, average=64 B
tracemalloc/.tmp:129: size=64 B, count=1, average=64 B
tracemalloc/.tmp:128: size=64 B, count=1, average=64 B
tracemalloc/.tmp:127: size=64 B, count=1, average=64 B
tracemalloc/.tmp:126: size=64 B, count=1, average=64 B
tracemalloc/.tmp:125: size=64 B, count=1, average=64 B
tracemalloc/.tmp:123: size=64 B, count=1, average=64 B
tracemalloc/.tmp:122: size=64 B, count=1, average=64 B
tracemalloc/.tmp:121: size=64 B, count=1, average=64 B
tracemalloc/.tmp:120: size=64 B, count=1, average=64 B
tracemalloc/.tmp:119: size=64 B, count=1, average=64 B
tracemalloc/.tmp:118: size=64 B, count=1, average=64 B
tracemalloc/.tmp:117: size=64 B, count=1, average=64 B
tracemalloc/.tmp:116: size=64 B, count=1, average=64 B
tracemalloc/.tmp:115: size=64 B, count=1, average=64 B
tracemalloc/.tmp:114: size=64 B, count=1, average=64 B
tracemalloc/.tmp:113: size=64 B, count=1, average=64 B
