tracemalloc/.tmp:424: size=3856 B, count=4, average=964 B
tracemalloc/.tmp:181: size=2804 B, count=10, average=280 B
tracemalloc/.tmp:104: size=2532 B, count=8, average=316 B
tracemalloc/.tmp:388: size=2256 B, count=12, average=188 B
tracemalloc/.tmp:258: size=2092 B, count=9, average=232 B
tracemalloc/.tmp:381: size=2076 B, count=10, average=208 B
tracemalloc/.tmp:222: size=1904 B, count=4, average=476 B
tracemalloc/.tmp:338: size=1884 B, count=8, average=236 B
tracemalloc/.tmp:167: size=1884 B, count=8, average=236 B
tracemalloc/.tmp:409: size=1824 B, count=11, average=166 B
tracemalloc/.tmp:96: size=1812 B, count=6, average=302 B
tracemalloc/.tmp:313: size=1804 B, count=7, average=258 B
tracemalloc/.tmp:280: size=1804 B, count=7, average=258 B
tracemalloc/.tmp:68: size=1612 B, count=6, average=269 B
tracemalloc/.tmp:39: size=1596 B, count=6, average=266 B
tracemalloc/.tmp:81: size=1580 B, count=5, average=316 B
tracemalloc/.tmp:64: size=1532 B, count=7, average=219 B
tracemalloc/.tmp:399: size=1392 B, count=10, average=139 B
tracemalloc/.tmp:393: size=1392 B, count=10, average=139 B
tracemalloc/.tmp:74: size=1388 B, count=5, average=278 B
tracemalloc/.tmp:390: size=680 B, count=5, average=136 B
tracemalloc/.tmp:184: size=640 B, count=6, average=107 B
tracemalloc/.tmp:184: size=576 B, count=5, average=115 B
tracemalloc/.tmp:42: size=576 B, count=5, average=115 B
tracemalloc/.tmp:42: size=576 B, count=5, average=115 B
tracemalloc/.tmp:42: size=576 B, count=5, average=115 B
tracemalloc/.tmp:42: size=576 B, count=5, average=115 B
tracemalloc/.tmp:42: size=576 B, count=5, average=115 B
tracemalloc/.tmp:178: size=544 B, count=3, average=181 B
tracemalloc/.tmp:187: size=544 B, count=2, average=272 B
tracemalloc/.tmp:187: size=544 B, count=2, average=272 B
tracemalloc/.tmp:187: size=544 B, count=2, average=272 B
tracemalloc/.tmp:187: size=544 B, count=2, average=272 B
tracemalloc/.tmp:175: size=544 B, count=2, average=272 B
tracemalloc/.tmp:45: size=544 B, count=2, average=272 B
tracemalloc/.tmp:428: size=528 B, count=1, average=528 B
tracemalloc/.tmp:42: size=512 B, count=4, average=128 B
tracemalloc/.tmp:42: size=512 B, count=4, average=128 B
