tracemalloc/.tmp:83: size=2496 B, count=104, average=24 B
tracemalloc/.tmp:10: size=2108 B, count=7, average=301 B
tracemalloc/.tmp:47: size=1980 B, count=6, average=330 B
tracemalloc/.tmp:121: size=1804 B, count=6, average=301 B
tracemalloc/.tmp:204: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:376: size=912 B, count=2, average=456 B
tracemalloc/.tmp:405: size=696 B, count=2, average=348 B
tracemalloc/.tmp:362: size=640 B, count=1, average=640 B
tracemalloc/.tmp:418: size=632 B, count=2, average=316 B
tracemalloc/.tmp:299: size=536 B, count=1, average=536 B
tracemalloc/.tmp:55: size=504 B, count=1, average=504 B
tracemalloc/.tmp:384: size=488 B, count=1, average=488 B
tracemalloc/.tmp:111: size=480 B, count=1, average=480 B
tracemalloc/.tmp:383: size=456 B, count=1, average=456 B
tracemalloc/.tmp:381: size=456 B, count=1, average=456 B
tracemalloc/.tmp:296: size=456 B, count=1, average=456 B
tracemalloc/.tmp:111: size=456 B, count=1, average=456 B
tracemalloc/.tmp:409: size=440 B, count=1, average=440 B
tracemalloc/.tmp:79: size=416 B, count=1, average=416 B
tracemalloc/.tmp:400: size=224 B, count=1, average=224 B
tracemalloc/.tmp:389: size=136 B, count=1, average=136 B
tracemalloc/.tmp:374: size=136 B, count=1, average=136 B
tracemalloc/.tmp:365: size=136 B, count=1, average=136 B
tracemalloc/.tmp:361: size=136 B, count=1, average=136 B
tracemalloc/.tmp:340: size=136 B, count=1, average=136 B
tracemalloc/.tmp:289: size=136 B, count=1, average=136 B
tracemalloc/.tmp:285: size=136 B, count=1, average=136 B
tracemalloc/.tmp:274: size=136 B, count=1, average=136 B
tracemalloc/.tmp:260: size=136 B, count=1, average=136 B
tracemalloc/.tmp:255: size=136 B, count=1, average=136 B
tracemalloc/.tmp:225: size=136 B, count=1, average=136 B
tracemalloc/.tmp:215: size=136 B, count=1, average=136 B
tracemalloc/.tmp:181: size=136 B, count=1, average=136 B
tracemalloc/.tmp:167: size=136 B, count=1, average=136 B
tracemalloc/.tmp:156: size=136 B, count=1, average=136 B
tracemalloc/.tmp:147: size=136 B, count=1, average=136 B
tracemalloc/.tmp:142: size=136 B, count=1, average=136 B
tracemalloc/.tmp:136: size=136 B, count=1, average=136 B
tracemalloc/.tmp:130: size=136 B, count=1, average=136 B
tracemalloc/.tmp:123: size=136 B, count=1, average=136 B
tracemalloc/.tmp:114: size=136 B, count=1, average=136 B
tracemalloc/.tmp:110: size=136 B, count=1, average=136 B
tracemalloc/.tmp:105: size=136 B, count=1, average=136 B
tracemalloc/.tmp:81: size=136 B, count=1, average=136 B
tracemalloc/.tmp:61: size=136 B, count=1, average=136 B
tracemalloc/.tmp:54: size=136 B, count=1, average=136 B
tracemalloc/.tmp:43: size=136 B, count=1, average=136 B
tracemalloc/.tmp:38: size=136 B, count=1, average=136 B
