tracemalloc/.tmp:18: size=1724 B, count=7, average=246 B
tracemalloc/.tmp:48: size=1328 B, count=3, average=443 B
tracemalloc/.tmp:14: size=800 B, count=1, average=800 B
tracemalloc/.tmp:58: size=696 B, count=2, average=348 B
tracemalloc/.tmp:60: size=536 B, count=1, average=536 B
tracemalloc/.tmp:44: size=480 B, count=20, average=24 B
tracemalloc/.tmp:33: size=136 B, count=1, average=136 B
tracemalloc/.tmp:29: size=136 B, count=1, average=136 B
tracemalloc/.tmp:24: size=136 B, count=1, average=136 B
tracemalloc/.tmp:20: size=136 B, count=1, average=136 B
tracemalloc/.tmp:45: size=72 B, count=3, average=24 B
tracemalloc/.tmp:36: size=55 B, count=1, average=55 B
tracemalloc/.tmp:30: size=24 B, count=1, average=24 B
tracemalloc/.tmp:18: size=1724 B, count=7, average=246 B
tracemalloc/.tmp:48: size=1328 B, count=3, average=443 B
tracemalloc/.tmp:14: size=800 B, count=1, average=800 B
tracemalloc/.tmp:58: size=696 B, count=2, average=348 B
tracemalloc/.tmp:60: size=536 B, count=1, average=536 B
tracemalloc/.tmp:33: size=136 B, count=1, average=136 B
tracemalloc/.tmp:29: size=136 B, count=1, average=136 B
tracemalloc/.tmp:24: size=136 B, count=1, average=136 B
tracemalloc/.tmp:20: size=136 B, count=1, average=136 B
tracemalloc/.tmp:44: size=96 B, count=4, average=24 B
tracemalloc/.tmp:44: size=72 B, count=3, average=24 B
tracemalloc/.tmp:36: size=55 B, count=1, average=55 B
tracemalloc/.tmp:45: size=24 B, count=1, average=24 B
tracemalloc/.tmp:45: size=24 B, count=1, average=24 B
tracemalloc/.tmp:39: size=24 B, count=1, average=24 B
tracemalloc/.tmp:18: size=1724 B, count=7, average=246 B
tracemalloc/.tmp:48: size=1328 B, count=3, average=443 B
tracemalloc/.tmp:14: size=800 B, count=1, average=800 B
tracemalloc/.tmp:58: size=696 B, count=2, average=348 B
tracemalloc/.tmp:60: size=536 B, count=1, average=536 B
tracemalloc/.tmp:33: size=136 B, count=1, average=136 B
tracemalloc/.tmp:29: size=136 B, count=1, average=136 B
tracemalloc/.tmp:24: size=136 B, count=1, average=136 B
tracemalloc/.tmp:20: size=136 B, count=1, average=136 B
tracemalloc/.tmp:44: size=96 B, count=4, average=24 B
tracemalloc/.tmp:44: size=72 B, count=3, average=24 B
tracemalloc/.tmp:36: size=55 B, count=1, average=55 B
tracemalloc/.tmp:45: size=24 B, count=1, average=24 B
tracemalloc/.tmp:45: size=24 B, count=1, average=24 B
tracemalloc/.tmp:39: size=24 B, count=1, average=24 B
tracemalloc/.tmp:18: size=1724 B, count=7, average=246 B
tracemalloc/.tmp:48: size=1328 B, count=3, average=443 B
tracemalloc/.tmp:14: size=800 B, count=1, average=800 B
tracemalloc/.tmp:58: size=696 B, count=2, average=348 B
tracemalloc/.tmp:60: size=536 B, count=1, average=536 B
tracemalloc/.tmp:33: size=136 B, count=1, average=136 B
tracemalloc/.tmp:29: size=136 B, count=1, average=136 B
tracemalloc/.tmp:24: size=136 B, count=1, average=136 B
tracemalloc/.tmp:20: size=136 B, count=1, average=136 B
tracemalloc/.tmp:44: size=96 B, count=4, average=24 B
tracemalloc/.tmp:44: size=72 B, count=3, average=24 B
tracemalloc/.tmp:36: size=55 B, count=1, average=55 B
tracemalloc/.tmp:45: size=24 B, count=1, average=24 B
tracemalloc/.tmp:45: size=24 B, count=1, average=24 B
tracemalloc/.tmp:39: size=24 B, count=1, average=24 B
tracemalloc/.tmp:18: size=1724 B, count=7, average=246 B
tracemalloc/.tmp:48: size=1328 B, count=3, average=443 B
tracemalloc/.tmp:14: size=800 B, count=1, average=800 B
tracemalloc/.tmp:58: size=696 B, count=2, average=348 B
tracemalloc/.tmp:60: size=536 B, count=1, average=536 B
tracemalloc/.tmp:33: size=136 B, count=1, average=136 B
tracemalloc/.tmp:29: size=136 B, count=1, average=136 B
tracemalloc/.tmp:24: size=136 B, count=1, average=136 B
tracemalloc/.tmp:20: size=136 B, count=1, average=136 B
tracemalloc/.tmp:44: size=96 B, count=4, average=24 B
tracemalloc/.tmp:44: size=72 B, count=3, average=24 B
tracemalloc/.tmp:36: size=55 B, count=1, average=55 B
tracemalloc/.tmp:45: size=24 B, count=1, average=24 B
tracemalloc/.tmp:45: size=24 B, count=1, average=24 B
tracemalloc/.tmp:39: size=24 B, count=1, average=24 B
tracemalloc/.tmp:18: size=1724 B, count=7, average=246 B
tracemalloc/.tmp:48: size=1328 B, count=3, average=443 B
tracemalloc/.tmp:14: size=800 B, count=1, average=800 B
tracemalloc/.tmp:58: size=696 B, count=2, average=348 B
tracemalloc/.tmp:60: size=536 B, count=1, average=536 B
tracemalloc/.tmp:33: size=136 B, count=1, average=136 B
tracemalloc/.tmp:29: size=136 B, count=1, average=136 B
