tracemalloc/.tmp:425: size=1024 B, count=16, average=64 B
tracemalloc/.tmp:9: size=936 B, count=2, average=468 B
tracemalloc/.tmp:445: size=696 B, count=2, average=348 B
tracemalloc/.tmp:421: size=616 B, count=1, average=616 B
tracemalloc/.tmp:460: size=536 B, count=1, average=536 B
tracemalloc/.tmp:432: size=448 B, count=1, average=448 B
tracemalloc/.tmp:431: size=448 B, count=1, average=448 B
tracemalloc/.tmp:452: size=440 B, count=1, average=440 B
tracemalloc/.tmp:416: size=384 B, count=16, average=24 B
tracemalloc/.tmp:443: size=224 B, count=1, average=224 B
tracemalloc/.tmp:436: size=136 B, count=1, average=136 B
tracemalloc/.tmp:430: size=136 B, count=1, average=136 B
tracemalloc/.tmp:424: size=136 B, count=1, average=136 B
tracemalloc/.tmp:419: size=136 B, count=1, average=136 B
tracemalloc/.tmp:416: size=48 B, count=2, average=24 B
tracemalloc/.tmp:450: size=40 B, count=1, average=40 B
tracemalloc/.tmp:9: size=936 B, count=2, average=468 B
tracemalloc/.tmp:445: size=696 B, count=2, average=348 B
tracemalloc/.tmp:421: size=616 B, count=1, average=616 B
tracemalloc/.tmp:460: size=536 B, count=1, average=536 B
tracemalloc/.tmp:432: size=448 B, count=1, average=448 B
tracemalloc/.tmp:431: size=448 B, count=1, average=448 B
tracemalloc/.tmp:452: size=440 B, count=1, average=440 B
tracemalloc/.tmp:443: size=224 B, count=1, average=224 B
tracemalloc/.tmp:425: size=192 B, count=3, average=64 B
tracemalloc/.tmp:436: size=136 B, count=1, average=136 B
tracemalloc/.tmp:430: size=136 B, count=1, average=136 B
tracemalloc/.tmp:424: size=136 B, count=1, average=136 B
tracemalloc/.tmp:419: size=136 B, count=1, average=136 B
tracemalloc/.tmp:416: size=72 B, count=3, average=24 B
tracemalloc/.tmp:425: size=64 B, count=1, average=64 B
tracemalloc/.tmp:450: size=40 B, count=1, average=40 B
tracemalloc/.tmp:416: size=24 B, count=1, average=24 B
tracemalloc/.tmp:416: size=24 B, count=1, average=24 B
tracemalloc/.tmp:416: size=24 B, count=1, average=24 B
tracemalloc/.tmp:9: size=936 B, count=2, average=468 B
tracemalloc/.tmp:445: size=696 B, count=2, average=348 B
tracemalloc/.tmp:421: size=616 B, count=1, average=616 B
tracemalloc/.tmp:460: size=536 B, count=1, average=536 B
tracemalloc/.tmp:432: size=448 B, count=1, average=448 B
tracemalloc/.tmp:431: size=448 B, count=1, average=448 B
tracemalloc/.tmp:452: size=440 B, count=1, average=440 B
tracemalloc/.tmp:443: size=224 B, count=1, average=224 B
tracemalloc/.tmp:425: size=192 B, count=3, average=64 B
tracemalloc/.tmp:436: size=136 B, count=1, average=136 B
tracemalloc/.tmp:430: size=136 B, count=1, average=136 B
tracemalloc/.tmp:424: size=136 B, count=1, average=136 B
tracemalloc/.tmp:419: size=136 B, count=1, average=136 B
tracemalloc/.tmp:416: size=72 B, count=3, average=24 B
tracemalloc/.tmp:425: size=64 B, count=1, average=64 B
tracemalloc/.tmp:450: size=40 B, count=1, average=40 B
tracemalloc/.tmp:416: size=24 B, count=1, average=24 B
tracemalloc/.tmp:416: size=24 B, count=1, average=24 B
tracemalloc/.tmp:416: size=24 B, count=1, average=24 B
tracemalloc/.tmp:9: size=936 B, count=2, average=468 B
tracemalloc/.tmp:445: size=696 B, count=2, average=348 B
tracemalloc/.tmp:421: size=616 B, count=1, average=616 B
tracemalloc/.tmp:460: size=536 B, count=1, average=536 B
tracemalloc/.tmp:432: size=448 B, count=1, average=448 B
tracemalloc/.tmp:431: size=448 B, count=1, average=448 B
tracemalloc/.tmp:452: size=440 B, count=1, average=440 B
tracemalloc/.tmp:443: size=224 B, count=1, average=224 B
tracemalloc/.tmp:425: size=192 B, count=3, average=64 B
tracemalloc/.tmp:436: size=136 B, count=1, average=136 B
tracemalloc/.tmp:430: size=136 B, count=1, average=136 B
tracemalloc/.tmp:424: size=136 B, count=1, average=136 B
tracemalloc/.tmp:419: size=136 B, count=1, average=136 B
tracemalloc/.tmp:416: size=72 B, count=3, average=24 B
tracemalloc/.tmp:425: size=64 B, count=1, average=64 B
tracemalloc/.tmp:450: size=40 B, count=1, average=40 B
tracemalloc/.tmp:416: size=24 B, count=1, average=24 B
tracemalloc/.tmp:416: size=24 B, count=1, average=24 B
tracemalloc/.tmp:416: size=24 B, count=1, average=24 B
tracemalloc/.tmp:9: size=936 B, count=2, average=468 B
tracemalloc/.tmp:445: size=696 B, count=2, average=348 B
tracemalloc/.tmp:421: size=616 B, count=1, average=616 B
tracemalloc/.tmp:460: size=536 B, count=1, average=536 B
tracemalloc/.tmp:432: size=448 B, count=1, average=448 B
tracemalloc/.tmp:431: size=448 B, count=1, average=448 B
tracemalloc/.tmp:452: size=440 B, count=1, average=440 B
