tracemalloc/.tmp:137: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:229: size=696 B, count=2, average=348 B
tracemalloc/.tmp:302: size=536 B, count=1, average=536 B
tracemalloc/.tmp:183: size=520 B, count=1, average=520 B
tracemalloc/.tmp:184: size=504 B, count=1, average=504 B
tracemalloc/.tmp:265: size=480 B, count=1, average=480 B
tracemalloc/.tmp:243: size=440 B, count=1, average=440 B
tracemalloc/.tmp:47: size=440 B, count=1, average=440 B
tracemalloc/.tmp:210: size=321 B, count=5, average=64 B
tracemalloc/.tmp:237: size=150 B, count=1, average=150 B
tracemalloc/.tmp:196: size=144 B, count=6, average=24 B
tracemalloc/.tmp:213: size=136 B, count=1, average=136 B
tracemalloc/.tmp:182: size=136 B, count=1, average=136 B
tracemalloc/.tmp:166: size=136 B, count=1, average=136 B
tracemalloc/.tmp:159: size=136 B, count=1, average=136 B
tracemalloc/.tmp:149: size=136 B, count=1, average=136 B
tracemalloc/.tmp:53: size=136 B, count=1, average=136 B
tracemalloc/.tmp:29: size=136 B, count=1, average=136 B
tracemalloc/.tmp:298: size=130 B, count=2, average=65 B
tracemalloc/.tmp:285: size=91 B, count=1, average=91 B
tracemalloc/.tmp:137: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:229: size=696 B, count=2, average=348 B
tracemalloc/.tmp:302: size=536 B, count=1, average=536 B
tracemalloc/.tmp:183: size=520 B, count=1, average=520 B
tracemalloc/.tmp:184: size=504 B, count=1, average=504 B
tracemalloc/.tmp:265: size=480 B, count=1, average=480 B
tracemalloc/.tmp:243: size=440 B, count=1, average=440 B
tracemalloc/.tmp:47: size=440 B, count=1, average=440 B
tracemalloc/.tmp:210: size=321 B, count=5, average=64 B
tracemalloc/.tmp:237: size=150 B, count=1, average=150 B
tracemalloc/.tmp:213: size=136 B, count=1, average=136 B
tracemalloc/.tmp:182: size=136 B, count=1, average=136 B
tracemalloc/.tmp:166: size=136 B, count=1, average=136 B
tracemalloc/.tmp:159: size=136 B, count=1, average=136 B
tracemalloc/.tmp:149: size=136 B, count=1, average=136 B
tracemalloc/.tmp:53: size=136 B, count=1, average=136 B
tracemalloc/.tmp:29: size=136 B, count=1, average=136 B
tracemalloc/.tmp:298: size=130 B, count=2, average=65 B
tracemalloc/.tmp:196: size=120 B, count=5, average=24 B
tracemalloc/.tmp:285: size=91 B, count=1, average=91 B
tracemalloc/.tmp:196: size=24 B, count=1, average=24 B
tracemalloc/.tmp:137: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:229: size=696 B, count=2, average=348 B
tracemalloc/.tmp:302: size=536 B, count=1, average=536 B
tracemalloc/.tmp:183: size=520 B, count=1, average=520 B
tracemalloc/.tmp:184: size=504 B, count=1, average=504 B
tracemalloc/.tmp:265: size=480 B, count=1, average=480 B
tracemalloc/.tmp:243: size=440 B, count=1, average=440 B
tracemalloc/.tmp:47: size=440 B, count=1, average=440 B
tracemalloc/.tmp:210: size=321 B, count=5, average=64 B
